,Posts,clean_posts,len,Sentiment
10,"['When we have to deal with time sheet data it can post particular challenges for the DW if not modelled in the right way.', ""This applies to any HR/Service delivery and it's because we only tend to have Start Dates and End Dates in the source system."", 'This makes it very complex and expensive later on to calculate Count of Employees for a specific period. This is because we have to write calculations for a specific time range.', 'This presents a good example of how we can transform the model to make it less expensive for measures.', ""In this post I'll show how we can transform data with TSQL, way before it gets to the final model/mart."", ""Here's an example of some source data for an Employee table. In my experience this is very common."", 'We can transform this table by exploding out rows for each employee for the time range defined. This will make it much easier to create measures as you can simply sum a column like with a normal transaction table.', ""SQL has a join type called CROSS JOIN. It's hardly ever used. CROSS JOIN produces a result set which is the number of rows in the first table multiplied by the number of rows in the second table (with no WHERE clause). This kind of result is called a Cartesian Product."", 'In order to explode out the Employee data we need to CROSS JOIN to a Date/Time table at the grain with which we want to model with later i.e. Day.', 'You should have this Date data in a Calendar Table (very important table in the DW)', 'Step 1', 'This gives Employees * Dates which is not quite what we want as it gives us all employees for all dates.', ""We can add a where predicate to remove rows we don't want."", 'Step 2', ""We're getting there. One problem we still have is the Employee with no Termination Date i.e. the active ones will be excluded from the results."", 'Not a problem as we can run a UNION query too.', 'Step 3', ""The WHERE clause here needs to be customised for your data. In my my data NULL dates are presented as '01/01/1900'. Note also in this case I don't want to show rows for future dates. If you were going use this data for Planning then you would have to consider this."", 'The final SQL is shown below.', 'All you need now is a surrogate key. This makes the beginning of an Employee fact table.', ""Don't assume the sources tables are ready for modelling - when the end users consume your model with Self-Service tools they will have a nicer time with a fact table that has facts rather than a fact-less fact table."", '© 2019 Lee Hawthorn']",deal time sheet data post particular challeng dw model right way appli hr servic deliveri tend start date end date sourc system make complex expens later calcul count employe specif period write calcul specif time rang present good exampl transform model make less expens measur post show transform data tsql way get final model mart exampl sourc data employe tabl experi common transform tabl explod row employe time rang defin make much easier creat measur simpli sum column like normal transact tabl sql join type call cross join hardli ever use cross join produc result set number row first tabl multipli number row second tabl claus kind result call cartesian product order explod employe data need cross join date time tabl grain want model later e day date data calendar tabl import tabl dw step give employe date quit want give us employe date add predic remov row want step get one problem still employe termin date e activ one exclud result problem run union queri step claus need customis data data null date present note also case want show row futur date go use data plan would consid final sql shown need surrog key make begin employe fact tabl assum sourc tabl readi model end user consum model self servic tool nicer time fact tabl fact rather fact less fact tabl lee hawthorn,1292,1
11,"['When data is stored in OLAP cubes on SQL Server this can be a convenient data source for analysts as the data is pre-cleaned and the model is usually named with known business entities like Product, Division, Customer etc...', ""OLAP cubes should be optimised to return query results within a few seconds. Compare this to a SQL query that can take hours. This helps the analyst with data exploration. I wouldn't recommend using SSAS cubes for training data but you can at least follow the data lineage from the cube to locate the relevant source data."", 'You can query SSAS cubes with a version of R that comes from Microsoft.', ""The package needed is olapR - note, I can't find this in the CRAN repository, hence, you have to use the R version provided by "", ""It would be easier if Microsoft published the package to CRAN but you can't have everything. When I first learnt R in 2015 there was no OLAP package in CRAN and I had to use manual hacks to get OLAP data into R."", ""If you're using the GNU R with R Studio you can change your version of R temporarily :"", ""Once you've restarted R you can install the package"", ""Note, the Microsoft docs need updating for SQL Server 2017 Tabular Cubes with a compatibility of 1400 (I've submitted feedback to them via GitHub docs)"", 'Assuming you have a SSAS tabular cube deployed and processed here is what you need (when SSAS is on same machine).', 'Note, with 1400 cubes you need to include the cube name in the connection string under [Initial Catalog]', 'In the code below you need to name the cube ""Model"" as this is the alias that is used. This is different to 1200 compatibility (SQL Server 2016) where you need to replace Model with the name of your cube.', ""It's best if you craft the MDX as this will give you the ultimate power that MDX provides. OlapR comes with an "", ""If using a tabular model you can write DAX :-) I can't see this documented on the Microsoft site but it seems to work."", 'This code loads the results of the MDX/DAX query into a Dataframe.', ""You'll notice there is a bit of cleaning up of column names required."", 'Many organisations have cubes already deployed, hence, they provide a great source for data exploration to give the analyst/data scientist a head start. Leverage the data assets already in place.', '© 2019 Lee Hawthorn']",data store olap cube sql server conveni data sourc analyst data pre clean model usual name known busi entiti like product divis custom etc olap cube optimis return queri result within second compar sql queri take hour help analyst data explor recommend use ssa cube train data least follow data lineag cube locat relev sourc data queri ssa cube version r come microsoft packag need olapr note find cran repositori henc use r version provid would easier microsoft publish packag cran everyth first learnt r olap packag cran use manual hack get olap data r use gnu r r studio chang version r temporarili restart r instal packag note microsoft doc need updat sql server tabular cube compat submit feedback via github doc assum ssa tabular cube deploy process need ssa machin note cube need includ cube name connect string initi catalog code need name cube model alia use differ compat sql server need replac model name cube best craft mdx give ultim power mdx provid olapr come use tabular model write dax see document microsoft site seem work code load result mdx dax queri datafram notic bit clean column name requir mani organis cube alreadi deploy henc provid great sourc data explor give analyst data scientist head start leverag data asset alreadi place lee hawthorn,1269,1
12,"['Living in the city of Chester I sometimes think the old Deva Victrix (79AD) city is still in the air.', 'We have a 6 story luxury student block being planned for development at the end of my road.  When deciding to support / object to this development I wanted to know if this was based on real need.', 'Chester already has lots of student housing, both multiple occupancy homes and newer student blocks.  The latter being more expensive.', 'Like other university cities Chester has a superb community of students that bring energy and life to the city.  The University of Chester is an important asset to the city that helps power growth.', 'Student blocks are being developed by third-parties and sold to investors looking for returns at the expense of students/taxpayers.  I wanted to know if the development was speculative or for a real need.', 'After reaching out to my local authority I was shocked to discover there was no open data available on this controversial subject.  ', 'We live in a data rich society.  It’s way past time we had this data in my opinion.  To answer my question  I really needed some level of ‘occupancy’ data.', ""It didn't take me long to find "", 'This data was stuck on a poorly formatted web site.   Available to all but not exactly formatted for easy access.  No API.  Can’t really blame the 3rd party running the website, they are doing the important job of matching students with housing after all.  Not sure what happened to the semantic web.', 'With Python on my Pi I wanted to see if it was possible to automate the scraping, processing, presentation.   A micro-BI project carried out over a a couple of Sunday mornings.', 'One of the popular Python packages for scraping data is ', 'It’s great to see SQL Server come to Linux.   Would have liked to have used it but I needed something much lighter for my Pi.   I was keen to store this data with schema rather than dump it into JSON.\nSqLite is so popular but I’ve never had a use for it.  It’s on most of our phones as mobile phone developers use it for local data persistence.  Thought I’d give it a try.  Can’t be hard, SQL is a standard after all.', 'I would of loved to have used Power BI.  I didn’t bother looking for a Pi data gateway for SqLite on Linux.', 'On R we have excellent visualisation libraries such as GGPlot.  Wondered what was available on Python.  ', 'The code is available ', 'Incidentally, I did this development on my Windows machine using VS Code with Python Tools installed, it provides a very refreshing debugging/linting experience.  ', 'My only gripe was that I’d like to be able to see Pandas Data Frames more easily when debugging.  Seeing the stack is fun but too deep in many cases.  I suppose I’m spoilt by RStudio.', 'I was surprised that I didn’t need to modify the code (other than changing the working path) to get it running on the Pi.  This applied to the full stack.  Oh how times are changing.', 'The web data does indeed show there are empty properties spread across Chester.\nThis data should be available for society.  We shouldn’t need hacking skills to get the data in my opinion.', 'After I joined the local community action group I found that local authorities across the country have very disparate data services.  It seems the improvements we’ve seen from the Gov haven’t filtered down to our cash strapped Local Authorities yet.', '© 2019 Lee Hawthorn']",live citi chester sometim think old deva victrix ad citi still air stori luxuri student block plan develop end road decid support object develop want know base real need chester alreadi lot student hous multipl occup home newer student block latter expens like univers citi chester superb commun student bring energi life citi univers chester import asset citi help power growth student block develop third parti sold investor look return expens student taxpay want know develop specul real need reach local author shock discov open data avail controversi subject live data rich societi way past time data opinion answer question realli need level occup data take long find data stuck poorli format web site avail exactli format easi access api realli blame rd parti run websit import job match student hous sure happen semant web python pi want see possibl autom scrape process present micro bi project carri coupl sunday morn one popular python packag scrape data great see sql server come linux would like use need someth much lighter pi keen store data schema rather dump json nsqlite popular never use phone mobil phone develop use local data persist thought give tri hard sql standard would love use power bi bother look pi data gateway sqlite linux r excel visualis librari ggplot wonder avail python code avail incident develop window machin use vs code python tool instal provid refresh debug lint experi gripe like abl see panda data frame easili debug see stack fun deep mani case suppos spoilt rstudio surpris need modifi code chang work path get run pi appli full stack oh time chang web data inde show empti properti spread across chester nthi data avail societi need hack skill get data opinion join local commun action group found local author across countri dispar data servic seem improv seen gov filter cash strap local author yet lee hawthorn,1862,1
13,"[""BI projects have complex elements such as dimensional modelling, modelling facts, hierarchies, calculations etc..\nThis makes it essential that Business Analysis is applied\xa0on all projects. \xa0It's during the BA phase that requirements are picked up. \xa0"", ""As a BI professional it's important you use your judgement to tease out requirements that users may not be aware of, for instance, slowly changing dimensions, late arriving facts, late arriving dimensions."", 'You can also start to detect data quality, although, data profiling is the key tool to determine data quality. \xa0Users will often give their opinion on data quality.', 'You can also get an understanding of the largest tables and any fact grained dimensions.\nFor some BI projects there are limited facts, we see this with HR & Legal. \xa0', ""It's very important to determine this early on. \xa0This doesn't prevent users from requesting facts, for instance, a hiring manager may wish to see the number of new hires or the number of applicants. \xa0If this fact isn't available it's going to have to be created or inferred based on some other field such as Hire Date."", ""It's also important you understand the process that underlies the OLTP database. \xa0 With BA tools you can document this process. \xa0 I had one situation where a billing process included dynamic revenue types. \xa0 The user wanted to analyse and report on revenue. \xa0 This required master data to be added to the ETL pipeline. \xa0Not a small feat. It's things like this you want to know about early on."", ""There's a lot more that I won't go into...currency translation, cost allocations, complex measures."", ""It's vitally important these things are well understood before development starts."", '© 2019 Lee Hawthorn']",bi project complex element dimension model model fact hierarchi calcul etc nthi make essenti busi analysi appli xa project xa ba phase requir pick xa bi profession import use judgement teas requir user may awar instanc slowli chang dimens late arriv fact late arriv dimens also start detect data qualiti although data profil key tool determin data qualiti xa user often give opinion data qualiti also get understand largest tabl fact grain dimens nfor bi project limit fact see hr legal xa import determin earli xa prevent user request fact instanc hire manag may wish see number new hire number applic xa fact avail go creat infer base field hire date also import understand process underli oltp databas xa ba tool document process xa one situat bill process includ dynam revenu type xa user want analys report revenu xa requir master data ad etl pipelin xa small feat thing like want know earli lot go currenc translat cost alloc complex measur vital import thing well understood develop start lee hawthorn,1008,-1
14,"['When holding a workshop to collect requirements for a BI project you can take two broad approaches.', ""Don't assume users know what they want. \xa0 Adapt your action to the situation at hand."", '© 2019 Lee Hawthorn']",hold workshop collect requir bi project take two broad approach assum user know want xa adapt action situat hand lee hawthorn,125,1
15,"['This post is about calling R functions from Power BI. The use case for this is utilising the functions created by Data Scientists i.e. scoring alogrithms, predictions on churn, risk assessment models and more.', ""I know from previous experience that Power BI can query REST API's so I decided to give it try."", 'First thing is to prefix R functions with attributes as per the R Plumber docs.', 'To keep this simple I used the sample code in the R Plumber docs.', 'To serve up these functions you can use this code to launch the server on port 8000 on localhost.', 'I was primarily interested in calling the /sum function. This requires a POST request though so we need to get our hands dirty with M.', 'I remember creating a POST request several years ago when Power Query was called Data Explorer. Would the same technique work I wondered.', 'The first thing I wanted to do was test the end point. If on Linux/Mac you can use Curl to do this.', 'I ended up using Postman on Windows.', 'Notice the request is POST and we need to specify parameters as per the function signature. I see the results being returned, great, plumbing done.', 'To call this function from Power BI you need to write M code as the standard Web source only makes a GET request.', 'This data comes into Power Query initially as JSON and ended up in a LIST. A few extra steps are needed to turn this into a TABLE and change the data type from text whole number.', 'The key M code is listed below. Note the addition of the Content parmeter. When you use the Content parameter the web request changes from GET to POST. The text parameters also need to be encoded in Binary, hence Text.ToBinary()', 'The complete M code is listed below', ""Of course in the real world you will need to authenticate to a deployed web service. If I had more time I would love to see how far this goes i.e published to the Power BI service and with a data frame rather than single value, it should work in theory but I've not tested this."", 'You have multiple options to deploy R code depending on the infrastructure and tools you have. You now have an open source method of deploying R functions.', '© 2019 Lee Hawthorn']",post call r function power bi use case utilis function creat data scientist e score alogrithm predict churn risk assess model know previou experi power bi queri rest api decid give tri first thing prefix r function attribut per r plumber doc keep simpl use sampl code r plumber doc serv function use code launch server port localhost primarili interest call sum function requir post request though need get hand dirti rememb creat post request sever year ago power queri call data explor would techniqu work wonder first thing want test end point linux mac use curl end use postman window notic request post need specifi paramet per function signatur see result return great plumb done call function power bi need write code standard web sourc make get request data come power queri initi json end list extra step need turn tabl chang data type text whole number key code list note addit content parmet use content paramet web request chang get post text paramet also need encod binari henc text tobinari complet code list cours real world need authent deploy web servic time would love see far goe e publish power bi servic data frame rather singl valu work theori test multipl option deploy r code depend infrastructur tool open sourc method deploy r function lee hawthorn,1274,1
16,"['When creating BI models and looking into the guts of the ERP system you see data artifacts from user behavior or sometimes poor design which requires you to get out cleaning gear.', 'It goes without saying the best course of action is to clean data at source – if only this could happen more often.', 'In this post I’ll show a little example I learnt recently to infer dates with T-SQL.', 'In the scenario below we have HR data showing employees at various positions over time.\nThe time frame of each position is represented with Valid From and Valid To dates.', 'The integrity of this data is crucial if the fields are going to be used in a join.', 'When the validTo date is flaky we can infer the date by looking at the validFrom\nof the employees next position. Usually this requires a complex query with self-joins and other manners of madness.', 'T-SQL in SQL Server 2012+ gives us the LEAD function. We can use LEAD() to write a simple query with fewer lines of code. It works by partitioning the data into sets split by employee. Each set is sorted by validFrom so the next row gives us the date needed. I had to use DATEADD to subtract 1 from the next ValidTo date was there was an issue using LEAD with int and dates.', 'You can set up the data with the code below. I’ve added real ValidTo dates to show the inference is correct.', '© 2019 Lee Hawthorn']",creat bi model look gut erp system see data artifact user behavior sometim poor design requir get clean gear goe without say best cours action clean data sourc could happen often post show littl exampl learnt recent infer date sql scenario hr data show employe variou posit time nthe time frame posit repres valid valid date integr data crucial field go use join validto date flaki infer date look validfrom nof employe next posit usual requir complex queri self join manner mad sql sql server give us lead function use lead write simpl queri fewer line code work partit data set split employe set sort validfrom next row give us date need use dateadd subtract next validto date issu use lead int date set data code ad real validto date show infer correct lee hawthorn,768,1
17,"['When we’re carrying out analysis once we’ve got clean transformed data we have to create a model.', 'There are many types of models that can be used depending on the type of analysis or prediction being made. For instance, predicting a class, predicting values, finding unusual points.', 'Within each collection of models I’d really like to be able to spin through the models and selectively apply each to my dataset. I want to see the Accuracy, p-Value, Sensitivity, Specificity etc.. ranked.', 'With the model algorithms already pre-baked why can’t we just consume them in a fairly efficient way?', 'Of course we can do this by hand with Python or R but it would be much better if the software handled this type of plumbing/set-up.', 'Here’s an ', '© 2019 Lee Hawthorn']",carri analysi got clean transform data creat model mani type model use depend type analysi predict made instanc predict class predict valu find unusu point within collect model realli like abl spin model select appli dataset want see accuraci p valu sensit specif etc rank model algorithm alreadi pre bake consum fairli effici way cours hand python r would much better softwar handl type plumb set lee hawthorn,410,1
18,"['Web Scraping is used to pull data from web pages when an API is unavailable.  Imagine copying the data by hand (horrible chore) this is essentially web scraping.', 'I’ve wanted to get my head around this for a while and see if modern sites are structured in ways to make this easier.', 'When I was researching wine types for another project an opportunity came up.', 'The packages we can use to make our life easier are:', 'There’s one other tool that’s recommended, ', 'The first thing to do when scraping a page is to browse to the page.', 'We can then use the Selectorgadget tool to detect the right CSS selector. In the screenshot below I’ve clicked over the abstract and the class .productAbstract has been selected.  We know it’s the right selector as the other items in the list are highlighted.  A little patience is required here as there can be different selectors in the CSS which can give erroneous data.', 'The other selector we need is .productList.', 'With this information we’re good to go.', 'The script starts with loading the libraries and setting the URL we found earlier. I’ve increased the pagelength for illustration purposes.', 'To pull the web page into R’s memory we simply use ', 'We can then use the selector we found earlier to extract the data.', 'We can do a similar thing to extract the Abstract.', 'That is not helpful at all.  We have \\r\\n and too much space.  Fear not, we can use stringi to clean up the data.   When I look at a problem like this I breakdown the problem into smaller bits and solve these individually.  So in this spirit we’ll handle the \\r\\n problem first.', 'This is simply replacing the string “\\r\\n” with empty.  Of course with Regex there are many ways to skin a cat.   If you want to learn more feel free.', 'We have spaces left to eliminate.  Notice I’m searching for double space as I don’t want to remove the space from the abstract itself.', 'We add the product and abstract columns together, add columns names and export to CSV.  Job done.', 'The complete code is listed below', '© 2019 Lee Hawthorn']",web scrape use pull data web page api unavail imagin copi data hand horribl chore essenti web scrape want get head around see modern site structur way make easier research wine type anoth project opportun came packag use make life easier one tool recommend first thing scrape page brows page use selectorgadget tool detect right css selector screenshot click abstract class productabstract select know right selector item list highlight littl patienc requir differ selector css give erron data selector need productlist inform good go script start load librari set url found earlier increas pagelength illustr purpos pull web page r memori simpli use use selector found earlier extract data similar thing extract abstract help r n much space fear use stringi clean data look problem like breakdown problem smaller bit solv individu spirit handl r n problem first simpli replac string r n empti cours regex mani way skin cat want learn feel free space left elimin notic search doubl space want remov space abstract add product abstract column togeth add column name export csv job done complet code list lee hawthorn,1115,1
19,"['As an Excel power user I know Excel can be used to do pretty much anything – I’ve even seen Excel being used to play the Game of Life.   If this is the case why do we need R?', 'In this post I’ll tell you why and then show you.', 'We can write an R script once to do any of the  following :', 'If the R is written in the correct way it’s reproducible by default.  This is very beneficial if data is dynamic or if you need to pass the script to a colleague.  You don’t want them getting a different result.', 'Excel is flexible as mentioned above.  Excel is also limited by the resources Microsoft decide to invest in the product.  Even if Microsoft had the resources I think they would only include functionality that is useful for a broad spectrum of people.', ""How about R?   First off, it’s open source which means if  we need a real niche feature we can write it ourselves and many people do. Furthermore, the architecture of R is based around a package system which makes it highly adaptable.   To be fair, Excel has extensibility (VBA, COM, .NET) but to write an extension one has to learn a different language.   Packages in R are written with R and C if it's needed.  There’s a little extra to learn but learn to use R and you’re very close to being a package author."", 'At the time of writing there are over 6000 packages available for use.  Given R’s long lineage I am willing to bet that the problem you have will have been solved by someone else.', 'You can run R in lots of different places:', 'It’s important to know that R runs in-memory. This makes it very fast, although memory can be a constraint.', 'With R we can send the output to lots of different places.  We’re not constrained by a worksheet.', 'Okay, enough theory.  Here’s an example of customer analysis.   The problem we’re seeing is that customers are disappearing.  We need to find more insight before we can look to mitigate the problem.', 'As you can see in the Excel screenshot below, I’ve pulled in data from a database and grouped customers based on demographics. We see 12 months of customer count.', 'The second table is a copy of the first but with customer count aligned to the left (for charting/formula clarity).   I did this by hand. You could it with a formula to be fair.  The next table calculates Retention which takes the current month count and divides by month 1.   With this third table it’s simple to create a chart.', 'We’ve solved our problem.  What is going on with group 4?', 'It’s not all good though.  What happens if we see more groups in the database?  Or more months?  This worksheet doesn’t grow.   I know we can structure the workbook to make it expandable.  We can use dynamic ranges to populate the chart.   This is okay for me.  I’m a power user after all.  What about the other users?  Wouldn’t it be good if we could forget about structure and layout and just focus on the problem at hand?', 'This is what R gives us. I wrote the code and published to a website using R Markdown.  R Markdown gives us a facility to write a report or slides and embed R directly in the document.  You can find a copy of the R Markdown ', '© 2019 Lee Hawthorn']",excel power user know excel use pretti much anyth even seen excel use play game life case need r post tell show write r script follow r written correct way reproduc default benefici data dynam need pass script colleagu want get differ result excel flexibl mention excel also limit resourc microsoft decid invest product even microsoft resourc think would includ function use broad spectrum peopl r first open sourc mean need real nich featur write mani peopl furthermor architectur r base around packag system make highli adapt fair excel extens vba com net write extens one learn differ languag packag r written r c need littl extra learn learn use r close packag author time write packag avail use given r long lineag will bet problem solv someon els run r lot differ place import know r run memori make fast although memori constraint r send output lot differ place constrain worksheet okay enough theori exampl custom analysi problem see custom disappear need find insight look mitig problem see excel screenshot pull data databas group custom base demograph see month custom count second tabl copi first custom count align left chart formula clariti hand could formula fair next tabl calcul retent take current month count divid month third tabl simpl creat chart solv problem go group good though happen see group databas month worksheet grow know structur workbook make expand use dynam rang popul chart okay power user user good could forget structur layout focu problem hand r give us wrote code publish websit use r markdown r markdown give us facil write report slide emb r directli document find copi r markdown lee hawthorn,1636,1
20,"['Time Series analysis is a fundamental aspect of performance management.   Before we can begin to model time-series there’s huge dividend in just visualising the data.  We can see if there is a seasonal pattern, or is the time-series additive or multiplicative.', 'R comes with good plotting but one thing I’ve always wanted to do is zoom around a time-series. This is because patterns at the lower level are not always visible. We often have to group time to see the pattern but this is a transform I could do without.', 'At the last R London meetup I saw an excellent presentation from Enzo Martoglio who demonstrated HTML Widgets.  HTML widgets for R provide a bridge between R and HTML/JavaScript visualization libraries.', 'This opens a door for analysts and enables modern tools to be used for communicating model output.  I’ll leave that for another post. Back to time-series.', 'I kid you not, with 3 lines of code I was able to create an interactive time-series chart with zoom.  The package to use is dygraphs.   Basic example below.', 'We can see the seasonal pattern and the multiplicative trend.  This means a log transform will be needed before an additive model can be used. I’ll be posting more about time-series in the coming months.', 'These widgets can be output to the usual places:', 'There are so many use cases for this.  It’s going to be interesting to see where things go.', '© 2019 Lee Hawthorn']",time seri analysi fundament aspect perform manag begin model time seri huge dividend visualis data see season pattern time seri addit multipl r come good plot one thing alway want zoom around time seri pattern lower level alway visibl often group time see pattern transform could without last r london meetup saw excel present enzo martoglio demonstr html widget html widget r provid bridg r html javascript visual librari open door analyst enabl modern tool use commun model output leav anoth post back time seri kid line code abl creat interact time seri chart zoom packag use dygraph basic exampl see season pattern multipl trend mean log transform need addit model use post time seri come month widget output usual place mani use case go interest see thing go lee hawthorn,776,1
21,"['Here’s an example of using web services to source data & processing from 3rd parties.  I queried Yelp for top venues, used Google Maps to retrieve a distance matrix.  I then used an R package TSP to calculate the optimal route.  Finally plotting the route on Google Maps.', 'I presented this at ManchesterR in Feb-15. Slides are available ', 'Code walk-through can be found on ', '© 2019 Lee Hawthorn']",exampl use web servic sourc data process rd parti queri yelp top venu use googl map retriev distanc matrix use r packag tsp calcul optim rout final plot rout googl map present manchesterr feb slide avail code walk found lee hawthorn,232,1
